ID,avail_1,avail_2,avail_3,x_1_1,x_1_2,x_1_3,x_1_4,x_2_1,x_2_2,x_2_3,x_2_4,x_3_1,x_3_2,x_3_3,x_3_4,choice,class,ga,luggage,gender,who,income,age
1,1,1,1,1.12,0.48,1.2,0,0.63,0.52,0.2,0.0,1.17,0.65,0,0,2,0,0,0,0,1,2.0,3.0
1,1,1,1,1.03,0.48,0.3,0,0.6,0.49,0.1,0.0,1.17,0.84,0,0,2,0,0,0,0,1,2.0,3.0
1,1,1,1,1.3,0.48,0.6,0,0.67,0.58,0.3,0.0,1.17,0.52,0,0,2,0,0,0,0,1,2.0,3.0
1,1,1,1,1.03,0.4,0.3,0,0.63,0.52,0.2,0.0,0.72,0.52,0,0,2,0,0,0,0,1,2.0,3.0
1,1,1,1,1.3,0.36,0.6,0,0.63,0.42,0.2,0.0,0.9,0.84,0,0,2,0,0,0,0,1,2.0,3.0
1,1,1,1,1.12,0.36,1.2,0,0.6,0.49,0.1,0.0,0.9,0.52,0,0,2,0,0,0,0,1,2.0,3.0
1,1,1,1,1.03,0.48,1.2,0,0.67,0.58,0.1,0.0,0.72,0.65,0,0,2,0,0,0,0,1,2.0,3.0
1,1,1,1,1.03,0.36,0.3,0,0.67,0.43,0.3,0.0,0.9,0.65,0,0,1,0,0,0,0,1,2.0,3.0
1,1,1,1,1.3,0.4,0.6,0,0.6,0.46,0.1,0.0,0.72,0.65,0,0,2,0,0,0,0,1,2.0,3.0
2,1,1,0,1.84,0.62,1.2,0,0.76,0.7,0.2,0.0,0.0,0.0,0,0,2,0,0,1,0,1,1.0,2.0
2,1,1,0,1.7,0.62,0.3,0,0.7,0.66,0.1,0.0,0.0,0.0,0,0,2,0,0,1,0,1,1.0,2.0
2,1,1,0,2.13,0.62,0.6,0,0.84,0.82,0.3,0.0,0.0,0.0,0,0,2,0,0,1,0,1,1.0,2.0
2,1,1,0,1.7,0.52,0.3,0,0.76,0.72,0.2,0.0,0.0,0.0,0,0,2,0,0,1,0,1,1.0,2.0
2,1,1,0,2.13,0.47,0.6,0,0.76,0.53,0.2,0.0,0.0,0.0,0,0,2,0,0,1,0,1,1.0,2.0
2,1,1,0,1.84,0.47,1.2,0,0.7,0.66,0.1,0.0,0.0,0.0,0,0,2,0,0,1,0,1,1.0,2.0
2,1,1,0,1.7,0.62,1.2,0,0.84,0.82,0.1,0.0,0.0,0.0,0,0,2,0,0,1,0,1,1.0,2.0
2,1,1,0,1.7,0.47,0.3,0,0.84,0.57,0.3,0.0,0.0,0.0,0,0,2,0,0,1,0,1,1.0,2.0
2,1,1,0,2.13,0.52,0.6,0,0.7,0.62,0.1,0.0,0.0,0.0,0,0,2,0,0,1,0,1,1.0,2.0
3,1,1,1,0.58,0.32,0.3,0,0.29,0.35,0.1,0.0,1.05,0.4,0,0,2,0,0,1,1,1,2.0,2.0
3,1,1,1,0.58,0.29,0.3,0,0.25,0.38,0.2,0.0,1.36,0.5,0,0,2,0,0,1,1,1,2.0,2.0
3,1,1,1,0.58,0.32,1.2,0,0.27,0.4,0.1,1.0,1.36,0.65,0,0,2,0,0,1,1,1,2.0,2.0
3,1,1,1,0.47,0.29,0.6,0,0.25,0.38,0.3,1.0,0.84,0.65,0,0,2,0,0,1,1,1,2.0,2.0
3,1,1,1,0.51,0.32,0.3,0,0.25,0.36,0.3,1.0,1.36,0.4,0,0,2,0,0,1,1,1,2.0,2.0
3,1,1,1,0.51,0.38,0.6,0,0.25,0.42,0.2,0.0,0.84,0.4,0,0,2,0,0,1,1,1,2.0,2.0
3,1,1,1,0.51,0.29,0.3,0,0.27,0.32,0.1,1.0,0.84,0.5,0,0,2,0,0,1,1,1,2.0,2.0
3,1,1,1,0.51,0.32,0.6,0,0.27,0.4,0.3,0.0,1.05,0.5,0,0,2,0,0,1,1,1,2.0,2.0
