Total Episodes: 7469
Training Time (seconds): 16358.66
Average Reward: 0.2349
Unique Models Explored: 8995
Converged Models: 2348

Overall Best Candidate History:

Metric: AIC
  Episode: 0, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 1, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 2, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 3, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 4, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 5, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 6, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 7, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 8, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 9, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 10, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 11, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 12, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 13, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 14, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 15, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 16, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 17, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 18, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 19, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 20, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 21, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 22, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 23, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 24, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 25, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 26, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 27, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 28, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 29, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 30, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 31, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 32, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 33, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 34, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 35, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 36, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 37, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 38, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 39, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 40, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 41, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 42, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 43, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 44, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 45, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 46, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 47, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 48, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 49, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 50, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 51, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 52, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 53, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 54, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 55, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 56, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 57, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 58, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 59, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 60, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 61, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 62, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 63, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 64, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 65, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 66, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 67, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 68, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 69, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 70, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 71, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 72, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 73, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 74, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 75, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 76, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 77, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 78, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 79, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 80, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 81, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 82, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 83, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 84, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 85, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 86, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 87, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 88, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 89, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 90, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 91, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 92, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 93, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 94, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 95, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 96, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 97, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 98, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 99, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 100, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 101, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 102, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 103, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 104, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 105, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 106, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 107, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 108, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 109, Value: 7753.2562, Representation: 100_101_116_111_101
  Episode: 110, Value: 7753.2562, Representation: 100_101_116_111_101
