id,obs_id,choice,chosen_alt,av_1,av_2,timept,timecar,costpt,costcar,walkingtimept,waitingtimept,nbtransf,ovt_pt_transit,housetype,ownhouse,income,gender,st,caravail,education,age,destact,nbcar,nbhousehold
10350017,1,2,private,1,1,85,32,12.4,3.17,23,10,4,33,1,2,4,1,True,1,2,1,7,1,2
10350075,2,2,private,1,1,107,23,24.0,2.36,21,31,3,52,1,1,2,2,False,1,1,4,1,1,2
10350085,3,2,private,1,1,190,14,10.8,1.16,116,18,5,134,1,1,4,1,False,1,1,3,1,2,3
10350086,4,2,private,1,1,116,20,9.6,1.89,38,29,4,67,1,1,4,2,False,1,1,3,1,2,3
10350100,5,2,private,1,1,20,9,3.0,1.14,1,5,1,6,1,1,4,1,True,1,1,4,2,1,1
10350120,6,2,private,1,1,116,33,24.8,4.87,26,34,4,60,1,1,5,2,True,1,1,4,2,1,2
10350125,7,2,private,1,1,35,9,4.8,0.69,15,4,1,19,1,1,4,2,False,1,1,4,2,1,1
10350125,8,2,private,1,1,11,1,2.2,0.13,10,0,0,10,1,1,4,2,False,1,1,4,7,1,1
10350133,9,2,private,1,1,92,27,11.0,2.71,35,8,3,43,1,1,2,1,False,1,1,3,1,1,2
10350197,10,2,private,1,1,124,22,11.0,2.44,36,24,5,60,2,2,6,1,True,1,3,1,1,2,2
10350199,11,2,private,1,1,123,19,9.4,2.03,21,59,4,80,2,2,5,2,False,1,2,2,2,2,3
10350199,12,2,private,1,1,80,12,4.8,1.13,26,3,2,29,2,2,5,2,False,1,2,2,2,2,3
10350271,13,2,private,1,1,147,28,22.0,2.04,42,35,6,77,1,1,4,2,False,1,1,2,7,2,2
10350271,14,2,private,1,1,117,20,8.6,1.46,62,25,2,87,1,1,4,2,False,1,1,2,2,2,2
10350272,15,2,private,1,1,266,51,37.2,5.34,67,95,3,162,1,1,4,1,False,1,1,2,1,2,2
10350272,16,2,private,1,1,250,40,11.0,5.16,18,137,5,155,1,1,4,1,False,1,1,2,3,2,2
10360009,17,2,private,1,1,29,9,6.2,0.92,12,0,1,12,1,1,4,1,False,1,1,4,2,2,4
10360009,18,2,private,1,1,71,14,4.8,1.06,32,4,2,36,1,1,4,1,False,1,1,4,1,2,4
10360009,19,2,private,1,1,90,5,6.2,0.42,1,38,3,39,1,1,4,1,False,1,1,4,1,2,4
10360011,20,2,private,1,1,180,45,26.4,4.43,71,41,4,112,1,1,4,1,False,1,1,3,1,2,2
10360011,21,2,private,1,1,312,93,59.6,14.03,58,51,10,109,1,1,4,1,False,1,1,3,1,2,2
10360013,22,2,private,1,1,181,24,16.2,2.07,97,15,4,112,1,1,4,1,False,1,2,2,1,2,4
10360014,23,2,private,1,1,95,27,9.6,2.84,50,8,2,58,1,1,4,1,False,1,2,2,6,2,4
10360016,24,2,private,1,1,184,30,20.0,2.57,94,10,2,104,1,1,3,2,False,1,1,2,1,1,1
10360023,25,2,private,1,1,162,10,8.8,0.78,98,31,2,129,2,1,5,2,True,0,1,1,1,2,5
10360023,26,2,private,1,1,111,19,9.6,1.44,41,14,3,55,2,1,5,2,True,0,1,1,4,2,5
10360023,27,2,private,1,1,182,12,12.4,0.94,80,30,5,110,2,1,5,2,True,0,1,1,4,2,5
10360024,28,2,private,1,1,200,26,30.4,2.33,80,12,5,92,1,1,5,1,True,1,1,3,1,2,5
10360035,29,2,private,1,1,118,33,11.0,3.28,43,10,4,53,1,1,5,2,False,1,1,3,3,2,4
10360095,30,2,private,1,1,50,16,4.8,1.64,25,0,1,25,1,1,4,2,False,1,0,1,7,2,2
10360095,31,2,private,1,1,63,16,4.8,1.62,21,7,2,28,1,1,4,2,False,1,0,1,1,2,2
10360113,32,2,private,1,1,145,14,14.0,1.26,54,19,5,73,1,1,5,1,False,1,1,3,1,2,4
10360122,33,2,private,1,1,153,33,21.0,3.06,49,31,5,80,1,1,3,1,True,1,2,4,4,2,2
10360139,34,2,private,1,1,135,33,15.6,3.11,72,11,4,83,1,1,6,2,True,1,0,3,1,2,4
10360159,35,2,private,1,1,232,29,11.8,2.23,131,40,2,171,1,1,3,2,False,1,1,2,4,1,3
10360162,36,2,private,1,1,98,5,3.0,0.42,47,9,2,56,1,1,2,1,False,1,1,4,2,1,2
10360177,37,2,private,1,1,131,15,12.4,1.62,92,5,2,97,1,1,5,1,False,1,1,2,2,2,4
