id,obs_id,choice,chosen_alt,av_1,av_2,tt1,tt2,tc1,tc2,hw1,hw2,ch1,ch2,hh_inc_abs,car_availability,purpose,business
2439,1,2,alt2,1,1,58,50,7,8,30,30,1,0,1,1,1.0,0
2439,2,1,alt1,1,1,30,41,8,7,60,15,0,2,1,1,1.0,0
2439,3,1,alt1,1,1,41,34,7,8,30,15,0,2,1,1,1.0,0
2439,4,1,alt1,1,1,44,52,10,9,60,60,1,2,1,1,1.0,0
2439,5,2,alt2,1,1,43,34,9,10,60,30,0,0,1,1,1.0,0
2439,6,2,alt2,1,1,36,43,8,7,60,15,1,1,1,1,1.0,0
2439,7,2,alt2,1,1,30,43,8,7,60,15,0,0,1,1,1.0,0
2439,8,1,alt1,1,1,43,30,8,9,30,60,1,0,1,1,1.0,0
2439,9,1,alt1,1,1,41,58,8,7,30,60,2,0,1,1,1.0,0
5641,10,1,alt1,1,1,77,110,19,16,15,60,1,1,0,0,3.0,0
5641,11,2,alt2,1,1,94,125,23,18,60,15,1,0,0,0,3.0,0
5641,12,2,alt2,1,1,82,91,18,15,60,30,2,0,0,0,3.0,0
5641,13,2,alt2,1,1,101,86,15,20,60,15,0,0,0,0,3.0,0
5641,14,1,alt1,1,1,99,110,18,16,15,15,0,0,0,0,3.0,0
5641,15,1,alt1,1,1,91,101,18,16,30,15,1,0,0,0,3.0,0
5641,16,1,alt1,1,1,91,73,16,19,15,15,2,2,0,0,3.0,0
5641,17,1,alt1,1,1,68,91,20,18,30,60,2,2,0,0,3.0,0
5641,18,2,alt2,1,1,86,60,21,27,30,15,2,1,0,0,3.0,0
9364,19,2,alt2,1,1,15,11,4,5,60,15,2,1,0,1,3.0,0
9364,20,2,alt2,1,1,12,14,6,5,60,60,1,1,0,1,3.0,0
9364,21,1,alt1,1,1,14,11,4,5,60,30,0,2,0,1,3.0,0
9364,22,1,alt1,1,1,15,11,5,6,30,15,0,1,0,1,3.0,0
9364,23,2,alt2,1,1,15,11,5,6,30,15,2,1,0,1,3.0,0
9364,24,2,alt2,1,1,12,17,8,6,30,15,2,2,0,1,3.0,0
9364,25,2,alt2,1,1,13,17,6,5,60,15,0,2,0,1,3.0,0
9364,26,2,alt2,1,1,21,16,6,7,30,15,0,1,0,1,3.0,0
9364,27,1,alt1,1,1,14,10,4,5,15,30,1,1,0,1,3.0,0
10213,28,2,alt2,1,1,62,53,7,8,30,30,1,0,1,0,1.0,0
10213,29,2,alt2,1,1,43,32,7,8,15,60,2,0,1,0,1.0,0
10213,30,2,alt2,1,1,37,43,9,7,15,30,2,0,1,0,1.0,0
10213,31,2,alt2,1,1,55,47,9,10,60,60,2,1,1,0,1.0,0
10213,32,1,alt1,1,1,36,46,10,9,30,60,0,0,1,0,1.0,0
10213,33,1,alt1,1,1,39,46,8,7,60,15,1,1,1,0,1.0,0
10213,34,1,alt1,1,1,32,46,8,7,60,15,0,0,1,0,1.0,0
10213,35,2,alt2,1,1,46,32,8,9,30,60,1,0,1,0,1.0,0
10213,36,1,alt1,1,1,44,62,8,7,30,60,2,0,1,0,1.0,0
11429,37,2,alt2,1,1,34,29,4,5,30,30,1,0,2,1,3.0,0
11429,38,2,alt2,1,1,18,23,5,4,60,15,0,2,2,1,3.0,0
11429,39,2,alt2,1,1,20,23,5,4,15,30,2,0,2,1,3.0,0
11429,40,2,alt2,1,1,30,25,5,6,60,60,2,1,2,1,3.0,0
11429,41,2,alt2,1,1,25,20,5,6,60,30,0,0,2,1,3.0,0
11429,42,1,alt1,1,1,25,21,4,5,15,60,1,1,2,1,3.0,0
11429,43,1,alt1,1,1,25,17,4,5,15,60,0,0,2,1,3.0,0
11429,44,2,alt2,1,1,25,17,4,5,30,60,1,0,2,1,3.0,0
11429,45,1,alt1,1,1,24,34,5,4,30,60,2,0,2,1,3.0,0
11934,46,1,alt1,1,1,39,29,13,15,15,15,1,2,4,0,1.0,0
11934,47,1,alt1,1,1,31,21,10,13,60,60,0,2,4,0,1.0,0
11934,48,1,alt1,1,1,23,32,14,12,15,60,0,0,4,0,1.0,0
11934,49,1,alt1,1,1,44,35,10,11,15,15,1,2,4,0,1.0,0
11934,50,2,alt2,1,1,29,39,13,10,60,30,2,0,4,0,1.0,0
11934,51,2,alt2,1,1,32,24,10,13,15,30,1,1,4,0,1.0,0
11934,52,1,alt1,1,1,29,36,13,11,15,30,1,0,4,0,1.0,0
11934,53,1,alt1,1,1,31,39,13,10,30,30,0,2,4,0,1.0,0
11934,54,2,alt2,1,1,36,27,10,12,60,15,1,1,4,0,1.0,0
12049,55,1,alt1,1,1,43,51,35,32,30,30,0,1,4,1,1.0,0
12049,56,1,alt1,1,1,26,35,36,32,60,15,0,2,4,1,1.0,0
12049,57,2,alt2,1,1,35,30,32,38,30,15,0,2,4,1,1.0,0
12049,58,2,alt2,1,1,45,38,38,42,60,60,2,1,4,1,1.0,0
12049,59,2,alt2,1,1,37,30,40,46,60,30,0,0,4,1,1.0,0
12049,60,2,alt2,1,1,31,37,35,30,60,15,1,1,4,1,1.0,0
12049,61,1,alt1,1,1,37,26,30,36,15,60,0,0,4,1,1.0,0
12049,62,1,alt1,1,1,26,37,39,35,60,30,0,1,4,1,1.0,0
12049,63,2,alt2,1,1,51,35,32,36,60,30,0,2,4,1,1.0,0
12063,64,2,alt2,1,1,19,14,3,4,60,15,2,1,0,0,1.0,0
12063,65,1,alt1,1,1,18,14,3,4,60,60,1,1,0,0,1.0,0
12063,66,2,alt2,1,1,14,18,4,3,30,60,2,0,0,0,1.0,0
12063,67,1,alt1,1,1,19,14,3,4,30,15,0,1,0,0,1.0,0
12063,68,2,alt2,1,1,13,19,4,3,15,30,1,2,0,0,1.0,0
