"","ASC_alt1_hh_inc_abs_0","ASC_alt1_hh_inc_abs_1","ASC_alt1_hh_inc_abs_2","ASC_alt1_hh_inc_abs_3","ASC_alt1_hh_inc_abs_4","b_alt1_time_log_car_availability_0","b_alt1_time_log_car_availability_1","b_alt2_time_log_car_availability_0","b_alt2_time_log_car_availability_1","L_cost","b_alt1_cost_box_cox_car_availability_0","b_alt1_cost_box_cox_car_availability_1","b_alt2_cost_box_cox_car_availability_0","b_alt2_cost_box_cox_car_availability_1","b_alt1_headway_log_purpose_1","b_alt1_headway_log_purpose_2","b_alt1_headway_log_purpose_3","b_alt1_headway_log_purpose_4","b_alt2_headway_log_purpose_1","b_alt2_headway_log_purpose_2","b_alt2_headway_log_purpose_3","b_alt2_headway_log_purpose_4","b_interchanges_generic_business_0","b_interchanges_generic_business_1"
"ASC_alt1_hh_inc_abs_0",-128.238752949983,0.227373675443232,0,0.227373675443232,0.227373675443232,-377.667674911208,-87.0841176947579,379.486664314754,88.4483597474173,0.682121026329696,-5281488.02914075,-1209003.35787155,5257684.50643227,1172417.56925068,-100.044417195022,-20.2362571144477,-291.26567824278,-13.1876731757075,99.1349224932492,21.600499167107,291.26567824278,13.1876731757075,-1.59161572810262,1.36424205265939
"ASC_alt1_hh_inc_abs_1",0.227373675443232,-170.530256582424,0,0,0.227373675443232,-389.945853385143,-228.510543820448,386.080500902608,229.647412197664,-3.63797880709171,-4015626.92786683,-7174594.42967083,3535144.28752533,7223967.0316776,-122.781784739345,-64.1193764749914,-332.420313498005,-46.3842297904193,120.508047984913,64.3467501504347,332.192939822562,42.9736246587709,-1.36424205265939,1.13686837721616
"ASC_alt1_hh_inc_abs_2",0,0,-123.691279441118,0,0,-213.503881241195,-225.327312364243,211.684891837649,224.645191337913,-4.77484718430787,-1736825.42481401,-3520845.6665714,1802523.00197026,3415882.01990817,-105.50138540566,-47.7484718430787,-211.684891837649,-47.975845518522,106.410880107433,46.6116034658626,214.868123293854,46.6116034658626,-8.18545231595635,1.59161572810262
"ASC_alt1_hh_inc_abs_3",0.227373675443232,0,0,-72.532202466391,0.227373675443232,-141.881173476577,-134.605215862393,142.335920827463,136.424205265939,-3.63797880709171,-5145549.0392982,-5387761.80292189,4698537.62297134,5911138.94188311,-91.4042175281793,-3.86535248253495,-88.220986071974,-60.2540239924565,90.2673491509631,3.86535248253495,89.5852281246334,62.0730133960024,2.27373675443232,1.81898940354586
"ASC_alt1_hh_inc_abs_4",0.227373675443232,0.227373675443232,0,0.227373675443232,-76.397554948926,-132.558852783404,-142.563294502907,131.876731757075,143.927536555566,-6.82121026329696,-720282.287147711,-2266923.04750031,677234.766044421,2957196.10221568,-92.086338554509,-6.3664629124105,-105.50138540566,-46.6116034658626,92.086338554509,7.27595761418343,103.682396002114,48.8853402202949,4.77484718430787,-1.59161572810262
"b_alt1_time_log_car_availability_0",-377.667674911208,-389.945853385143,-213.503881241195,-141.881173476577,-132.558852783404,-4787.35273645725,0.227373675443232,4768.25334772002,0.227373675443232,43.2009983342141,-81296106.3729745,0.454747350886464,77848459.5684859,0.454747350886464,-1032.04911283683,-322.415871778503,-2411.52520175092,-418.59493649099,1007.49275588896,324.462234857492,2414.02631218079,405.17988963984,-30.2406988339499,19.3267624126747
"b_alt1_time_log_car_availability_1",-87.0841176947579,-228.510543820448,-225.327312364243,-134.605215862393,-142.563294502907,0.227373675443232,-3217.79225487262,0,3216.6553864954,-126.64713722188,0,-92710883.5639956,0.454747350886464,99828826.4781877,-637.32841226738,-60.4813976678997,-1543.6398825841,-481.577444588766,647.787601337768,61.3908923696727,1549.32422447018,487.943907501176,49.3400875711814,2.27373675443232
"b_alt2_time_log_car_availability_0",379.486664314754,386.080500902608,211.684891837649,142.335920827463,131.876731757075,4768.25334772002,0,-4776.43880003598,0.227373675443232,-47.2937244921923,81766712.3556021,0.227373675443232,-77065180.4486988,0,1026.59214462619,323.097992804833,2413.57156482991,414.502210333012,-1004.5368981082,-324.234861182049,-2413.11681747902,-401.087163481861,39.7903932025656,-19.3267624126747
"b_alt2_time_log_car_availability_1",88.4483597474173,229.647412197664,224.645191337913,136.424205265939,143.927536555566,0.227373675443232,3216.6553864954,0.227373675443232,-3221.65760735516,113.459464046173,-0.227373675443232,94017120.090939,0.454747350886464,-98433099.083195,640.056896372698,61.1635186942294,1551.14321387373,479.303707834333,-645.513864583336,-60.4813976678997,-1549.77897182107,-483.169060316868,-37.2892827726901,-0.454747350886464
"L_cost",0.682121026329696,-3.63797880709171,-4.77484718430787,-3.63797880709171,-6.82121026329696,43.2009983342141,-126.64713722188,-47.2937244921923,113.459464046173,-280.351741821505,-238082732.948897,-81675404.5445123,-281168878.700555,-44868707.1639142,0.454747350886464,0.454747350886464,-4.32009983342141,-59.5719029661268,0.227373675443232,0.227373675443232,-7.95807864051312,56.843418860808,-4.77484718430787,6.3664629124105
