id,obs_id,choice,chosen_alt,avail_car,avail_bus,avail_rail,avail_taxi,avail_cycling,avail_walking,car_travel_time_min,bus_ivt_time_min,rail_ivt_time_min,taxi_travel_time_min,cycling_travel_time_min,walking_travel_time_min,total_car_cost,bus_cost_total_per_leg,rail_cost_total_per_leg,taxi_cost,ovt_bus_min,ovt_rail_min,city,hh_size,purpose,income_perso,income_hh,age,education,female,british_origin,occ,n_car
34804,1,3,rail,1,1,1,1,1,1,12.7666666666667,11.0,10.0,12.7666666666667,14.0166666666667,37.9666666666667,8.55981617857005,2.3,2.9,5.87730916666667,6.4166666666667,6.5333333333333,1,4,2.0,1,1,1,3,1,1,1.0,1
34858,2,3,rail,0,0,1,1,1,0,14.3,4.0,4.0,14.3,13.6833333333333,43.6666666666667,0.525600441215535,2.3,2.9,6.01745708333333,6.2833333333333,6.2833333333333,1,4,1.0,1,1,1,3,1,1,1.0,1
34968,3,1,car,1,1,0,1,1,1,6.06666666666667,4.0,0.0,6.06666666666667,5.65,17.5333333333333,0.240133808605326,1.5,0.0,4.08093666666667,10.0666666666667,0.0001,1,4,4.0,1,1,1,3,1,1,1.0,1
35005,4,5,cycling,1,1,1,1,1,1,9.95,20.1833333333333,9.0,9.95,12.95,37.2166666666667,7.71046963008907,2.3,2.9,5.46217583333333,6.8333333333334,19.0666666666667,1,4,2.0,1,1,1,3,1,1,1.0,1
35059,5,5,cycling,0,1,1,1,1,1,8.9,13.0,4.0,8.9,11.9833333333333,38.3166666666667,0.499485505428909,2.3,2.9,5.49215958333333,8.95,14.6666666666667,1,4,3.0,1,1,1,3,1,1,1.0,1
35077,6,1,car,1,1,0,1,1,0,11.95,26.6166666666667,20.6,11.95,21.9833333333333,66.2333333333333,0.742269114180419,4.6,4.6,6.60320708333333,14.1166666666666,21.75,1,4,2.0,1,1,1,3,1,1,1.0,1
35305,7,1,car,1,1,0,1,1,1,6.13333333333333,3.0,0.0,6.13333333333333,5.65,17.6166666666667,0.240964267976203,1.5,0.0,4.0906875,9.95,0.0001,1,4,4.0,1,1,1,3,1,1,1.0,1
35355,8,3,rail,1,1,1,1,1,1,10.8833333333333,5.53333333333333,9.0,10.8833333333333,12.3333333333333,37.2333333333333,8.46972128529451,2.3,2.9,5.45524375,15.1833333333334,9.0833333333333,1,4,2.0,1,1,1,3,1,1,1.0,1
35433,9,3,rail,0,1,1,1,1,0,12.5666666666667,12.0,4.0,12.5666666666667,14.1833333333333,41.2333333333333,0.552887088784768,2.3,2.9,5.91418666666667,7.0166666666667,8.65,1,4,1.0,1,1,1,3,1,1,1.0,1
35679,10,6,walking,0,1,0,0,0,1,2.55,2.48333333333333,0.0,2.55,2.45,8.71666666666667,0.118878370582107,1.5,0.0,3.35724958333333,4.61666666666667,0.0001,1,4,4.0,1,1,1,3,1,1,1.0,1
35698,11,4,taxi,0,1,1,1,1,1,10.1666666666667,13.0,9.0,10.1666666666667,11.3333333333333,35.8,3.47164145429303,2.3,2.9,5.60643291666667,13.5666666666667,15.3333333333333,1,4,4.0,1,1,1,3,1,1,1.0,1
35699,12,4,taxi,0,1,0,1,1,0,9.9,15.0,7.0,9.9,14.8166666666667,45.8833333333333,0.587133822227425,2.3,2.3,5.69336833333333,11.8666666666667,22.25,1,4,1.0,1,1,1,3,1,1,1.0,1
35853,13,1,car,1,1,0,1,1,0,18.95,38.1833333333333,0.0,18.95,22.3833333333333,66.6,0.778249038405189,4.6,0.0,7.44324208333333,13.3,0.0001,1,4,2.0,1,1,1,3,1,1,1.0,1
35953,14,3,rail,1,1,1,1,1,0,12.5833333333333,13.0,10.0,12.5833333333333,13.05,38.15,8.50674320869266,2.3,2.9,5.61976875,6.1166666666667,9.2833333333333,1,4,2.0,1,1,1,3,1,1,1.0,1
36067,15,3,rail,0,0,1,1,1,0,17.7,4.0,4.0,17.7,16.4833333333333,42.5833333333333,0.500783139283479,2.3,2.9,6.25606458333333,6.4,6.4,1,4,1.0,1,1,1,3,1,1,1.0,1
36151,16,1,car,1,1,0,1,1,0,15.3833333333333,30.45,0.0,15.3833333333333,22.5166666666667,66.8666666666667,0.77732742626588,4.6,0.0,7.06209875,12.0333333333333,0.0001,1,4,2.0,1,1,1,3,1,1,1.0,1
36224,17,3,rail,0,1,1,1,1,1,12.2333333333333,11.0,10.0,12.2333333333333,13.15,37.55,0.841593282879256,2.3,2.9,5.54985625,6.0166666666667,5.4166666666667,1,4,2.0,1,1,1,3,1,1,1.0,1
