id,obs_id,choice,chosen_alt,train_av,sm_av,car_av,train_tt_scaled,sm_tt_scaled,car_tt_scaled,train_cost_scaled,sm_cost_scaled,car_co_scaled,train_he_scaled,sm_he_scaled,sm_seats_scaled,purpose,first,ticket,who,luggage,age,male,income,ga,origin,dest
1,1,2,SM,1,1,1,1.12,0.63,1.17,0.48,0.52,0.65,1.2,0.2,0.0,1,0,1,1,0,3,0,2,0,2,1
1,2,2,SM,1,1,1,1.03,0.6,1.17,0.48,0.49,0.84,0.3,0.1,0.0,1,0,1,1,0,3,0,2,0,2,1
1,3,2,SM,1,1,1,1.3,0.67,1.17,0.48,0.58,0.52,0.6,0.3,0.0,1,0,1,1,0,3,0,2,0,2,1
1,4,2,SM,1,1,1,1.03,0.63,0.72,0.4,0.52,0.52,0.3,0.2,0.0,1,0,1,1,0,3,0,2,0,2,1
1,5,2,SM,1,1,1,1.3,0.63,0.9,0.36,0.42,0.84,0.6,0.2,0.0,1,0,1,1,0,3,0,2,0,2,1
1,6,2,SM,1,1,1,1.12,0.6,0.9,0.36,0.49,0.52,1.2,0.1,0.0,1,0,1,1,0,3,0,2,0,2,1
1,7,2,SM,1,1,1,1.03,0.67,0.72,0.48,0.58,0.65,1.2,0.1,0.0,1,0,1,1,0,3,0,2,0,2,1
1,8,1,TRAIN,1,1,1,1.03,0.67,0.9,0.36,0.43,0.65,0.3,0.3,0.0,1,0,1,1,0,3,0,2,0,2,1
1,9,2,SM,1,1,1,1.3,0.6,0.72,0.4,0.46,0.65,0.6,0.1,0.0,1,0,1,1,0,3,0,2,0,2,1
2,10,2,SM,1,1,0,1.84,0.76,0.0,0.62,0.7,0.0,1.2,0.2,0.0,1,0,1,1,1,2,0,1,0,22,1
2,11,2,SM,1,1,0,1.7,0.7,0.0,0.62,0.66,0.0,0.3,0.1,0.0,1,0,1,1,1,2,0,1,0,22,1
2,12,2,SM,1,1,0,2.13,0.84,0.0,0.62,0.82,0.0,0.6,0.3,0.0,1,0,1,1,1,2,0,1,0,22,1
2,13,2,SM,1,1,0,1.7,0.76,0.0,0.52,0.72,0.0,0.3,0.2,0.0,1,0,1,1,1,2,0,1,0,22,1
2,14,2,SM,1,1,0,2.13,0.76,0.0,0.47,0.53,0.0,0.6,0.2,0.0,1,0,1,1,1,2,0,1,0,22,1
2,15,2,SM,1,1,0,1.84,0.7,0.0,0.47,0.66,0.0,1.2,0.1,0.0,1,0,1,1,1,2,0,1,0,22,1
2,16,2,SM,1,1,0,1.7,0.84,0.0,0.62,0.82,0.0,1.2,0.1,0.0,1,0,1,1,1,2,0,1,0,22,1
2,17,2,SM,1,1,0,1.7,0.84,0.0,0.47,0.57,0.0,0.3,0.3,0.0,1,0,1,1,1,2,0,1,0,22,1
2,18,2,SM,1,1,0,2.13,0.7,0.0,0.52,0.62,0.0,0.6,0.1,0.0,1,0,1,1,1,2,0,1,0,22,1
3,19,2,SM,1,1,1,0.58,0.29,1.05,0.32,0.35,0.4,0.3,0.1,0.0,1,0,1,1,1,2,1,2,0,10,25
3,20,2,SM,1,1,1,0.58,0.25,1.36,0.29,0.38,0.5,0.3,0.2,0.0,1,0,1,1,1,2,1,2,0,10,25
3,21,2,SM,1,1,1,0.58,0.27,1.36,0.32,0.4,0.65,1.2,0.1,1.0,1,0,1,1,1,2,1,2,0,10,25
