id,obs_id,choice,chosen_alt,av_1,av_2,car_ivtt,rail_ivtt,car_cost,rail_cost,rail_transfers,rail_comfort,purpose,age,employ_status,npersons,gender,arrival_time
1,1,1,auto,1,1,1.167,2.167,7.5,24.0,0,0,0,0,0,3,1,0
1,2,1,auto,1,1,1.167,2.167,7.0,24.0,0,0,0,0,0,3,1,0
1,3,1,auto,1,1,1.167,2.167,6.5,24.0,0,0,0,0,0,3,1,0
1,4,1,auto,1,1,1.167,2.167,6.0,24.0,0,0,0,0,0,3,1,0
1,5,1,auto,1,1,1.167,2.167,5.5,24.0,0,0,0,0,0,3,1,0
1,6,1,auto,1,1,1.167,2.167,5.0,24.0,0,0,0,0,0,3,1,0
1,7,1,auto,1,1,1.167,2.5,5.0,32.0,0,0,0,0,0,3,1,0
1,8,1,auto,1,1,1.167,2.5,5.0,24.0,0,1,0,0,0,3,1,0
2,9,1,auto,1,1,1.517,1.55,13.5,24.5,0,1,0,0,1,4,1,0
2,10,1,auto,1,1,1.517,1.55,12.6,24.5,0,1,0,0,1,4,1,0
2,11,1,auto,1,1,1.517,1.55,11.7,24.5,0,1,0,0,1,4,1,0
2,12,1,auto,1,1,1.517,1.55,10.8,24.5,0,1,0,0,1,4,1,0
2,13,1,auto,1,1,1.517,1.55,9.9,24.5,0,1,0,0,1,4,1,0
2,14,1,auto,1,1,1.517,1.55,9.0,24.5,0,1,0,0,1,4,1,0
2,15,1,auto,1,1,1.517,1.8,9.0,24.5,0,1,0,0,1,4,1,0
2,16,1,auto,1,1,1.517,1.8,9.0,29.75,0,0,0,0,1,4,1,0
3,17,1,auto,1,1,1.967,1.767,12.65,19.2,0,0,0,0,0,2,0,0
3,18,1,auto,1,1,1.967,1.767,11.5,19.2,0,0,0,0,0,2,0,0
3,19,1,auto,1,1,1.967,1.6,11.5,19.2,0,1,0,0,0,2,0,0
3,20,2,rail,1,1,1.967,1.767,16.1,19.2,0,0,0,0,0,2,0,0
3,21,2,rail,1,1,1.967,2.017,11.5,14.4,0,0,0,0,0,2,0,0
3,22,2,rail,1,1,1.967,1.767,11.5,14.4,0,1,0,0,0,2,0,0
4,23,1,auto,1,1,2.0,1.75,8.333,6.65,1,0,0,1,1,3,0,0
4,24,1,auto,1,1,2.0,1.75,8.333,5.45,1,1,0,1,1,3,0,0
4,25,2,rail,1,1,2.0,1.75,10.0,6.65,1,0,0,1,1,3,0,0
4,26,2,rail,1,1,2.0,1.75,8.333,7.8,0,1,0,1,1,3,0,0
5,27,2,rail,1,1,1.267,1.533,7.5,14.0,1,0,0,0,0,3,1,0
6,28,1,auto,1,1,1.583,2.333,90.0,31.2,1,1,1,1,0,1,0,1
6,29,1,auto,1,1,1.583,2.583,90.0,39.0,2,1,1,1,0,1,0,1
6,30,2,rail,1,1,1.583,2.083,45.0,46.8,1,1,1,1,0,1,0,1
6,31,2,rail,1,1,1.583,2.083,54.0,46.8,1,1,1,1,0,1,0,1
6,32,2,rail,1,1,1.583,2.083,63.0,46.8,1,1,1,1,0,1,0,1
6,33,2,rail,1,1,1.583,2.083,72.0,46.8,1,1,1,1,0,1,0,1
6,34,2,rail,1,1,1.583,2.083,81.0,46.8,1,1,1,1,0,1,0,1
6,35,2,rail,1,1,1.583,2.083,90.0,46.8,1,1,1,1,0,1,0,1
7,36,1,auto,1,1,2.55,2.667,4.8,28.0,0,0,0,1,1,4,0,0
7,37,1,auto,1,1,2.55,2.667,4.48,28.0,0,0,0,1,1,4,0,0
7,38,1,auto,1,1,2.55,2.667,4.16,28.0,0,0,0,1,1,4,0,0
7,39,1,auto,1,1,2.55,2.667,3.84,28.0,0,0,0,1,1,4,0,0
7,40,1,auto,1,1,2.55,2.667,3.52,28.0,0,0,0,1,1,4,0,0
7,41,1,auto,1,1,2.55,2.667,3.2,28.0,0,0,0,1,1,4,0,0
7,42,1,auto,1,1,2.55,2.083,3.2,28.0,0,1,0,1,1,4,0,0
7,43,1,auto,1,1,2.55,2.083,3.2,34.0,0,1,0,1,1,4,0,0
8,44,1,auto,1,1,1.483,1.75,19.5,22.5,0,0,1,0,0,2,1,1
8,45,1,auto,1,1,1.483,1.75,18.2,22.5,0,0,1,0,0,2,1,1
8,46,1,auto,1,1,1.483,1.75,16.9,22.5,0,0,1,0,0,2,1,1
8,47,1,auto,1,1,1.483,1.75,15.6,22.5,0,0,1,0,0,2,1,1
8,48,1,auto,1,1,1.483,1.75,14.3,22.5,0,0,1,0,0,2,1,1
8,49,1,auto,1,1,1.483,1.75,13.0,22.5,0,0,1,0,0,2,1,1
8,50,1,auto,1,1,1.483,1.917,13.0,33.75,0,0,1,0,0,2,1,1
