id,obs_id,choice,chosen_alt,av_walk,av_cycle,av_pt,av_drive,dur_walking,dur_cycling,dur_pt,dur_driving,dur_pt_access,cost_transit,cost_drive,pt_interchanges,driving_traffic_percent,household_id,person_n,purpose,age,female,driving_license,car_ownership
0,1,4,drive,1,1,1,1,0.218055556,0.0922222219999999,0.016666667,0.052222222,0.134444444,1.5,0.14,0,0.111702,0,0,3,3,1,1,2
1,2,4,drive,1,1,1,1,0.1888888889999999,0.061944444,0.055555556,0.059444444,0.109444444,1.5,0.15,0,0.11215,0,0,3,3,1,1,2
2,3,4,drive,1,1,1,1,1.037777778,0.355833333,0.210277778,0.236666667,0.203055556,1.5,0.79,0,0.203052,0,0,3,3,1,1,2
3,4,4,drive,1,1,1,1,1.039444444,0.384444444,0.258611111,0.233333333,0.205555556,1.5,0.78,0,0.160714,0,0,3,3,1,1,2
4,5,4,drive,1,1,1,1,1.037777778,0.355833333,0.189444444,0.229166667,0.203055556,1.5,0.78,0,0.130909,0,1,3,3,0,1,2
5,6,4,drive,1,1,1,1,1.039444444,0.384444444,0.221111111,0.222222222,0.205555556,1.5,0.77,0,0.0975,0,1,3,3,0,1,2
6,7,4,drive,1,1,1,1,0.218055556,0.0922222219999999,0.016666667,0.052222222,0.134444444,0.0,0.14,0,0.111702,0,2,3,1,1,0,2
7,8,4,drive,1,1,1,1,0.1888888889999999,0.061944444,0.055555556,0.059444444,0.109444444,0.0,0.15,0,0.11215,0,2,3,1,1,0,2
8,9,4,drive,1,1,1,1,1.037777778,0.355833333,0.210277778,0.236666667,0.203055556,0.0,0.79,0,0.203052,0,2,3,1,1,0,2
9,10,4,drive,1,1,1,1,1.039444444,0.384444444,0.221111111,0.222222222,0.205555556,0.0,0.77,0,0.0975,0,2,3,1,1,0,2
10,11,4,drive,1,1,1,1,0.833888889,0.242222222,0.123611111,0.141388889,0.209166667,0.0,0.51,0,0.0903733,1,0,3,4,1,1,2
11,12,4,drive,1,1,1,1,0.844722222,0.240277778,0.1222222219999999,0.132222222,0.241388889,0.0,0.5,0,0.0651260999999999,1,0,3,4,1,1,2
12,13,4,drive,1,1,1,1,0.833888889,0.242222222,0.123611111,0.141388889,0.209166667,0.0,0.51,0,0.0903733,1,1,3,4,0,1,2
13,14,4,drive,1,1,1,1,0.844722222,0.240277778,0.1222222219999999,0.132222222,0.241388889,0.0,0.5,0,0.0651260999999999,1,1,3,4,0,1,2
14,15,4,drive,1,1,1,1,2.109444444,0.715,0.963333333,0.5083333329999999,0.2575,3.0,1.59,1,0.356831,2,1,3,2,0,1,1
15,16,4,drive,1,1,1,1,2.130555556,0.7583333329999999,1.056388889,0.448055556,0.074444444,4.5,1.48,2,0.34036,2,1,5,2,0,1,1
16,17,4,drive,1,1,1,1,0.2097222219999999,0.066111111,0.058333333,0.0586111109999999,0.098611111,1.5,0.16,0,0.123223,2,1,3,2,0,1,1
17,18,3,pt,1,1,1,1,0.512222222,0.141666667,0.299722223,0.1155555559999999,0.123888889,3.0,0.33,1,0.0336538,3,1,1,2,1,0,0
18,19,3,pt,1,1,1,1,0.7625,0.231666667,0.334444444,0.1963888889999999,0.171388889,0.0,0.53,0,0.0353606999999999,4,0,3,4,1,0,0
19,20,3,pt,1,1,1,1,0.752222222,0.1975,0.312222222,0.2216666669999999,0.2225,0.0,0.56,0,0.0864662,4,0,3,4,1,0,0
20,21,4,drive,1,1,1,1,0.598333333,0.183333333,0.062222222,0.1172222219999999,0.381666667,0.0,0.41,0,0.0971563999999999,5,1,3,4,1,1,1
21,22,4,drive,1,1,1,1,0.603055556,0.2047222219999999,0.293611111,0.167777778,0.083888889,0.0,0.46,0,0.243377,5,1,3,4,1,1,1
22,23,3,pt,1,1,1,1,0.342222222,0.127222222,0.133333333,0.093888889,0.109166667,1.5,0.23,0,0.204142,6,0,3,3,0,1,0
23,24,1,walk,1,1,1,1,0.178888889,0.065277778,0.041666667,0.056388889,0.0505555559999999,1.5,0.12,0,0.172414,6,0,5,3,0,1,0
24,25,3,pt,1,1,1,1,0.2691666669999999,0.0777777779999999,0.083333333,0.073055556,0.0275,1.5,0.21,0,0.129278,6,0,3,3,0,1,0
25,26,1,walk,1,1,1,1,0.165,0.0627777779999999,0.016666667,0.049166667,0.120833333,1.5,0.1,0,0.0960452,7,0,3,3,1,1,1
26,27,1,walk,1,1,1,1,0.152222222,0.050833333,0.033888889,0.055277778,0.068333333,1.5,0.1,0,0.105528,7,0,3,3,1,1,1
27,28,4,drive,1,1,1,1,3.7825,1.100277778,0.6166666670000001,0.3408333329999999,0.1938888889999999,1.5,2.04,1,0.280359,7,1,4,3,0,1,1
28,29,3,pt,1,1,1,1,1.775833333,0.490277778,0.423333333,0.418055556,0.1266666669999999,1.5,1.2,0,0.242525,8,1,3,3,1,0,1
29,30,3,pt,1,1,1,1,1.675277778,0.471111111,0.433888889,0.467777778,0.0536111109999999,1.5,1.23,0,0.397862,8,1,3,3,1,0,1
30,31,1,walk,1,1,1,1,0.259444444,0.0922222219999999,0.044444444,0.0875,0.098888889,1.5,0.2,0,0.292064,8,1,3,3,1,0,1
31,32,1,walk,1,1,1,1,0.173888889,0.054722222,0.038055556,0.055,0.1011111109999999,1.5,0.14,0,0.0757576,8,1,3,3,1,0,1
