id,obs_id,choice,chosen_alt,av_car,av_bus,av_air,av_rail,time_car,time_bus,time_air,time_rail,cost_car,cost_bus,cost_air,cost_rail,access_bus,access_air,access_rail,service_air,service_rail,female,business,income
1,1,4,rail,0,0,1,1,0,0,50,170,0,0,50,35,0,55,5,3,2,0,0,3
1,2,4,rail,0,0,1,1,0,0,90,120,0,0,65,75,0,45,5,1,3,0,0,3
1,3,4,rail,0,0,1,1,0,0,70,155,0,0,110,75,0,40,25,1,2,0,0,3
1,4,4,rail,0,0,1,1,0,0,90,170,0,0,80,35,0,40,25,1,2,0,0,3
1,5,3,air,0,0,1,1,0,0,90,130,0,0,80,75,0,35,25,2,2,0,0,3
1,6,4,rail,0,0,1,1,0,0,50,170,0,0,95,35,0,45,10,3,2,0,0,3
1,7,4,rail,0,0,1,1,0,0,60,120,0,0,110,75,0,40,15,2,3,0,0,3
1,8,4,rail,0,0,1,1,0,0,50,140,0,0,95,55,0,55,10,3,1,0,0,3
1,9,4,rail,0,0,1,1,0,0,70,140,0,0,110,45,0,40,25,1,3,0,0,3
1,10,4,rail,0,0,1,1,0,0,80,120,0,0,65,35,0,55,5,3,1,0,0,3
1,11,4,rail,0,0,1,1,0,0,60,130,0,0,80,75,0,55,15,1,3,0,0,3
1,12,4,rail,0,0,1,1,0,0,70,170,0,0,110,35,0,35,25,2,3,0,0,3
1,13,4,rail,0,0,1,1,0,0,90,140,0,0,65,65,0,45,15,1,2,0,0,3
1,14,4,rail,0,0,1,1,0,0,80,140,0,0,50,55,0,50,10,1,3,0,0,3
2,15,4,rail,1,1,0,1,300,330,0,170,40,25,0,35,15,0,25,0,2,1,0,3
2,16,4,rail,1,1,0,1,390,390,0,140,35,35,0,45,5,0,20,0,1,1,0,3
2,17,4,rail,1,1,0,1,345,390,0,130,35,20,0,65,25,0,5,0,2,1,0,3
2,18,4,rail,1,1,0,1,275,360,0,140,40,25,0,55,25,0,20,0,1,1,0,3
2,19,1,car,1,1,0,1,275,420,0,130,45,20,0,35,15,0,15,0,3,1,0,3
2,20,1,car,1,1,0,1,250,420,0,140,50,20,0,55,20,0,25,0,1,1,0,3
2,21,1,car,1,1,0,1,390,420,0,130,30,20,0,75,20,0,10,0,2,1,0,3
2,22,4,rail,1,1,0,1,250,420,0,155,35,20,0,55,15,0,20,0,2,1,0,3
2,23,4,rail,1,1,0,1,300,300,0,140,35,30,0,45,20,0,20,0,2,1,0,3
2,24,2,bus,1,1,0,1,390,390,0,130,30,20,0,75,10,0,10,0,1,1,0,3
2,25,1,car,1,1,0,1,390,390,0,140,35,15,0,75,5,0,20,0,1,1,0,3
2,26,4,rail,1,1,0,1,275,360,0,155,50,15,0,35,5,0,20,0,1,1,0,3
2,27,1,car,1,1,0,1,300,390,0,170,40,20,0,45,20,0,5,0,1,1,0,3
2,28,1,car,1,1,0,1,275,420,0,120,50,15,0,75,5,0,5,0,3,1,0,3
3,29,3,air,0,0,1,1,0,0,90,140,0,0,50,65,0,40,20,2,3,1,0,4
3,30,4,rail,0,0,1,1,0,0,60,140,0,0,50,55,0,55,5,2,3,1,0,4
3,31,4,rail,0,0,1,1,0,0,90,130,0,0,65,55,0,35,20,2,3,1,0,4
3,32,3,air,0,0,1,1,0,0,90,140,0,0,50,55,0,35,25,1,3,1,0,4
3,33,3,air,0,0,1,1,0,0,70,120,0,0,65,75,0,50,10,1,2,1,0,4
3,34,3,air,0,0,1,1,0,0,90,140,0,0,50,55,0,50,15,3,1,1,0,4
3,35,3,air,0,0,1,1,0,0,60,130,0,0,95,75,0,40,15,3,2,1,0,4
3,36,4,rail,0,0,1,1,0,0,80,120,0,0,110,45,0,40,5,3,1,1,0,4
3,37,3,air,0,0,1,1,0,0,90,155,0,0,50,55,0,40,20,2,1,1,0,4
3,38,4,rail,0,0,1,1,0,0,80,155,0,0,95,45,0,40,25,3,1,1,0,4
3,39,4,rail,0,0,1,1,0,0,60,155,0,0,110,65,0,50,20,1,3,1,0,4
3,40,4,rail,0,0,1,1,0,0,70,120,0,0,110,75,0,40,15,1,3,1,0,4
3,41,3,air,0,0,1,1,0,0,80,155,0,0,50,55,0,50,10,1,2,1,0,4
3,42,3,air,0,0,1,1,0,0,80,130,0,0,50,75,0,50,15,2,1,1,0,4
4,43,3,air,0,1,1,1,0,390,50,155,0,20,50,55,15,45,15,2,3,0,0,2
4,44,4,rail,0,1,1,1,0,390,60,130,0,25,110,45,25,40,10,3,1,0,0,2
4,45,4,rail,0,1,1,1,0,420,60,130,0,20,95,55,25,55,5,2,1,0,0,2
4,46,4,rail,0,1,1,1,0,390,50,140,0,25,80,45,20,50,10,3,2,0,0,2
4,47,4,rail,0,1,1,1,0,420,50,130,0,15,110,75,20,45,10,2,3,0,0,2
4,48,4,rail,0,1,1,1,0,345,80,120,0,35,80,45,25,45,10,3,1,0,0,2
4,49,4,rail,0,1,1,1,0,390,60,170,0,25,65,45,20,55,15,3,2,0,0,2
4,50,3,air,0,1,1,1,0,390,60,140,0,15,50,65,10,55,5,3,1,0,0,2
4,51,4,rail,0,1,1,1,0,360,90,120,0,30,95,45,25,40,10,2,3,0,0,2
4,52,3,air,0,1,1,1,0,360,50,155,0,30,50,45,15,50,10,2,1,0,0,2
4,53,4,rail,0,1,1,1,0,360,70,170,0,20,95,45,5,40,25,3,2,0,0,2
4,54,4,rail,0,1,1,1,0,390,70,120,0,15,110,65,10,40,25,1,3,0,0,2
4,55,4,rail,0,1,1,1,0,330,70,140,0,15,95,65,10,45,20,3,1,0,0,2
4,56,4,rail,0,1,1,1,0,360,90,140,0,25,50,35,20,55,5,2,3,0,0,2
5,57,4,rail,0,1,1,1,0,300,70,170,0,25,80,35,5,35,25,3,2,0,1,1
5,58,4,rail,0,1,1,1,0,390,70,140,0,25,80,35,20,40,15,1,3,0,1,1
5,59,4,rail,0,1,1,1,0,390,60,130,0,25,110,75,5,50,15,2,1,0,1,1
5,60,4,rail,0,1,1,1,0,390,60,120,0,20,110,75,5,45,20,1,3,0,1,1
5,61,3,air,0,1,1,1,0,360,80,170,0,25,50,35,15,55,5,2,3,0,1,1
5,62,4,rail,0,1,1,1,0,345,70,155,0,35,95,55,15,40,20,1,3,0,1,1
5,63,3,air,0,1,1,1,0,345,90,130,0,35,50,65,20,35,20,2,3,0,1,1
5,64,4,rail,0,1,1,1,0,330,50,130,0,30,65,75,15,55,5,3,2,0,1,1
5,65,4,rail,0,1,1,1,0,360,60,170,0,30,95,55,25,45,20,1,3,0,1,1
5,66,3,air,0,1,1,1,0,390,50,170,0,25,50,45,25,55,5,3,2,0,1,1
5,67,3,air,0,1,1,1,0,330,80,155,0,30,65,55,20,35,20,2,1,0,1,1
5,68,3,air,0,1,1,1,0,390,70,140,0,15,95,65,5,45,20,1,3,0,1,1
5,69,4,rail,0,1,1,1,0,330,60,120,0,30,110,75,25,45,10,3,2,0,1,1
5,70,4,rail,0,1,1,1,0,420,90,170,0,20,65,35,15,35,25,3,2,0,1,1
6,71,2,bus,0,1,1,1,0,330,90,140,0,35,80,65,25,35,15,2,1,1,0,1
6,72,4,rail,0,1,1,1,0,360,70,155,0,25,80,35,25,45,15,1,2,1,0,1
6,73,4,rail,0,1,1,1,0,390,80,155,0,25,65,45,15,45,15,1,3,1,0,1
6,74,2,bus,0,1,1,1,0,420,60,140,0,20,95,75,15,45,10,1,3,1,0,1
6,75,2,bus,0,1,1,1,0,390,70,140,0,15,95,65,5,35,20,2,3,1,0,1
6,76,3,air,0,1,1,1,0,420,50,130,0,20,80,65,20,35,25,2,1,1,0,1
6,77,4,rail,0,1,1,1,0,390,70,130,0,35,110,35,25,45,10,3,1,1,0,1
6,78,4,rail,0,1,1,1,0,330,80,155,0,25,50,35,15,50,5,1,2,1,0,1
6,79,4,rail,0,1,1,1,0,390,90,120,0,35,80,55,5,45,15,3,1,1,0,1
6,80,4,rail,0,1,1,1,0,300,80,170,0,35,80,55,10,40,25,1,2,1,0,1
6,81,3,air,0,1,1,1,0,345,70,170,0,35,50,45,25,55,5,3,2,1,0,1
6,82,4,rail,0,1,1,1,0,360,50,120,0,35,80,75,15,40,10,3,2,1,0,1
6,83,2,bus,0,1,1,1,0,300,50,120,0,35,95,65,5,50,10,2,1,1,0,1
6,84,4,rail,0,1,1,1,0,345,60,155,0,30,65,45,20,55,5,1,2,1,0,1
7,85,3,air,1,1,1,1,275,330,80,120,50,35,65,45,20,55,5,3,1,0,1,2
7,86,4,rail,1,1,1,1,275,330,70,170,45,15,110,55,5,40,25,2,3,0,1,2
7,87,4,rail,1,1,1,1,275,390,70,155,45,15,80,35,25,55,5,1,1,0,1,2
7,88,4,rail,1,1,1,1,300,300,60,155,45,15,110,65,10,40,20,2,1,0,1,2
7,89,4,rail,1,1,1,1,390,390,60,155,35,35,95,65,10,45,15,2,3,0,1,2
7,90,4,rail,1,1,1,1,275,360,50,155,40,30,80,55,20,50,5,1,3,0,1,2
7,91,4,rail,1,1,1,1,250,360,60,120,50,25,110,65,15,45,20,3,2,0,1,2
7,92,1,car,1,1,1,1,275,390,90,155,30,25,65,65,15,40,25,1,2,0,1,2
7,93,3,air,1,1,1,1,390,390,90,120,30,25,65,65,25,35,15,3,1,0,1,2
7,94,3,air,1,1,1,1,275,330,70,120,50,25,80,55,25,50,5,1,3,0,1,2
7,95,3,air,1,1,1,1,390,420,60,130,35,15,110,55,25,35,15,2,1,0,1,2
7,96,4,rail,1,1,1,1,300,390,50,170,45,25,50,45,10,55,5,2,1,0,1,2
7,97,1,car,1,1,1,1,345,345,50,140,30,35,110,65,5,45,15,2,1,0,1,2
7,98,1,car,1,1,1,1,250,300,80,140,40,30,80,75,15,40,20,1,2,0,1,2
8,99,4,rail,0,1,0,1,0,330,0,130,0,30,0,55,15,0,10,0,1,0,0,2
8,100,4,rail,0,1,0,1,0,360,0,120,0,25,0,65,10,0,10,0,2,0,0,2
8,101,4,rail,0,1,0,1,0,390,0,130,0,30,0,65,10,0,25,0,3,0,0,2
8,102,4,rail,0,1,0,1,0,390,0,130,0,15,0,75,5,0,10,0,3,0,0,2
8,103,4,rail,0,1,0,1,0,390,0,120,0,25,0,35,20,0,10,0,2,0,0,2
8,104,4,rail,0,1,0,1,0,420,0,170,0,20,0,35,20,0,25,0,2,0,0,2
8,105,2,bus,0,1,0,1,0,420,0,155,0,20,0,65,5,0,20,0,1,0,0,2
8,106,4,rail,0,1,0,1,0,420,0,170,0,20,0,35,25,0,15,0,1,0,0,2
8,107,4,rail,0,1,0,1,0,360,0,170,0,30,0,45,25,0,10,0,2,0,0,2
8,108,2,bus,0,1,0,1,0,420,0,155,0,15,0,75,10,0,25,0,2,0,0,2
8,109,4,rail,0,1,0,1,0,390,0,155,0,15,0,35,10,0,10,0,1,0,0,2
8,110,4,rail,0,1,0,1,0,390,0,170,0,15,0,35,5,0,25,0,3,0,0,2
8,111,4,rail,0,1,0,1,0,420,0,140,0,15,0,65,20,0,25,0,2,0,0,2
8,112,4,rail,0,1,0,1,0,300,0,170,0,30,0,65,5,0,25,0,2,0,0,2
9,113,3,air,1,1,1,1,390,390,70,130,30,15,95,75,10,45,15,2,3,0,1,3
9,114,4,rail,1,1,1,1,345,345,60,120,45,35,95,45,25,50,5,3,1,0,1,3
9,115,4,rail,1,1,1,1,250,390,90,120,45,20,50,75,20,50,5,1,2,0,1,3
9,116,1,car,1,1,1,1,300,420,50,130,45,15,110,75,10,45,15,2,3,0,1,3
9,117,3,air,1,1,1,1,390,420,90,130,30,15,65,65,20,35,20,3,1,0,1,3
9,118,3,air,1,1,1,1,250,390,80,155,45,15,65,45,10,50,20,3,1,0,1,3
9,119,4,rail,1,1,1,1,390,390,60,155,40,15,110,65,10,35,25,2,1,0,1,3
9,120,4,rail,1,1,1,1,275,420,50,155,50,20,80,35,15,50,10,1,3,0,1,3
9,121,4,rail,1,1,1,1,345,360,50,155,50,30,80,45,20,55,5,2,3,0,1,3
9,122,3,air,1,1,1,1,390,390,50,120,35,35,95,75,25,35,15,1,2,0,1,3
9,123,4,rail,1,1,1,1,300,390,80,155,30,15,95,45,5,45,25,3,1,0,1,3
9,124,3,air,1,1,1,1,300,330,90,155,35,30,65,45,15,35,20,3,1,0,1,3
9,125,4,rail,1,1,1,1,250,360,90,120,50,30,65,55,25,35,25,3,2,0,1,3
9,126,4,rail,1,1,1,1,390,390,70,120,35,35,95,55,20,45,10,1,1,0,1,3
10,127,1,car,1,1,1,1,390,390,90,130,35,35,50,75,20,35,25,1,2,0,0,4
10,128,1,car,1,1,1,1,300,300,80,170,30,35,110,55,10,40,25,3,2,0,0,4
10,129,1,car,1,1,1,1,390,390,50,155,35,35,80,55,5,55,15,2,1,0,0,4
10,130,4,rail,1,1,1,1,300,330,80,120,45,35,95,55,20,45,5,1,3,0,0,4
10,131,4,rail,1,1,1,1,345,420,60,170,30,15,65,45,15,55,10,1,2,0,0,4
10,132,1,car,1,1,1,1,345,420,80,120,30,20,80,75,15,50,10,1,2,0,0,4
10,133,1,car,1,1,1,1,250,360,80,120,50,20,80,45,5,40,20,3,2,0,0,4
10,134,4,rail,1,1,1,1,275,360,90,170,35,30,80,35,15,35,20,2,3,0,0,4
10,135,4,rail,1,1,1,1,275,360,80,120,50,30,95,45,15,35,20,1,2,0,0,4
10,136,3,air,1,1,1,1,300,300,80,170,45,30,50,35,10,55,5,2,3,0,0,4
10,137,4,rail,1,1,1,1,275,360,50,130,50,15,110,65,20,45,15,2,3,0,0,4
10,138,1,car,1,1,1,1,345,360,60,140,30,25,110,75,25,50,5,3,2,0,0,4
10,139,3,air,1,1,1,1,250,420,60,130,50,20,65,65,20,50,10,1,2,0,0,4
10,140,3,air,1,1,1,1,390,420,60,140,35,20,50,55,5,55,5,3,1,0,0,4
11,141,4,rail,1,1,1,1,390,390,50,170,40,30,50,35,10,55,5,3,2,1,0,1
11,142,4,rail,1,1,1,1,390,420,50,140,30,20,80,55,15,55,5,2,1,1,0,1
11,143,1,car,1,1,1,1,250,420,90,120,50,15,65,75,25,45,5,1,3,1,0,1
11,144,4,rail,1,1,1,1,250,330,90,170,40,35,80,35,10,40,25,1,2,1,0,1
11,145,1,car,1,1,1,1,275,420,90,130,30,20,80,75,25,35,25,2,2,1,0,1
11,146,4,rail,1,1,1,1,275,300,50,170,45,30,95,35,25,45,10,3,2,1,0,1
11,147,4,rail,1,1,1,1,275,300,60,120,50,35,110,75,5,40,15,2,3,1,0,1
11,148,2,bus,1,1,1,1,390,420,50,140,35,15,95,55,10,55,10,3,1,1,0,1
11,149,4,rail,1,1,1,1,345,360,70,140,35,30,110,45,5,40,25,1,3,1,0,1
11,150,4,rail,1,1,1,1,345,390,80,120,45,25,65,35,25,55,5,3,1,1,0,1
11,151,1,car,1,1,1,1,250,390,60,130,50,20,80,75,15,55,15,1,3,1,0,1
11,152,1,car,1,1,1,1,390,390,70,170,30,35,110,35,5,35,25,2,3,1,0,1
11,153,4,rail,1,1,1,1,275,330,90,140,45,30,65,65,15,45,15,1,2,1,0,1
11,154,4,rail,1,1,1,1,300,420,80,140,45,25,50,55,15,50,10,1,3,1,0,1
12,155,4,rail,1,1,1,1,300,330,70,170,40,25,80,35,15,35,25,3,2,0,0,3
12,156,3,air,1,1,1,1,345,345,90,130,40,30,50,55,15,35,20,2,3,0,0,3
12,157,1,car,1,1,1,1,390,390,70,140,35,35,95,45,5,45,20,3,1,0,0,3
12,158,3,air,1,1,1,1,345,390,80,130,35,20,50,65,25,55,5,3,2,0,0,3
12,159,1,car,1,1,1,1,275,360,80,140,40,25,80,55,25,40,20,2,1,0,0,3
12,160,4,rail,1,1,1,1,275,420,80,130,45,20,80,35,15,40,15,2,3,0,0,3
12,161,1,car,1,1,1,1,250,420,60,140,50,20,110,55,20,35,25,3,1,0,0,3
12,162,4,rail,1,1,1,1,250,420,80,155,35,20,80,55,15,45,20,1,2,0,0,3
12,163,3,air,1,1,1,1,390,390,50,130,30,20,65,75,10,50,10,2,1,0,0,3
12,164,2,bus,1,1,1,1,390,390,50,140,35,15,110,75,5,50,20,3,1,0,0,3
12,165,4,rail,1,1,1,1,275,360,80,155,50,15,110,35,5,35,20,2,1,0,0,3
12,166,3,air,1,1,1,1,300,390,50,170,40,20,65,45,20,55,5,2,1,0,0,3
12,167,4,rail,1,1,1,1,345,345,70,130,45,25,110,45,20,35,10,3,1,0,0,3
12,168,2,bus,1,1,1,1,275,420,50,120,50,15,50,75,5,55,5,1,3,0,0,3
13,169,3,air,1,1,1,1,250,360,90,140,45,20,50,65,10,40,20,2,3,0,1,3
13,170,3,air,1,1,1,1,345,360,60,140,35,30,50,55,25,55,5,2,3,0,1,3
13,171,3,air,1,1,1,1,275,360,90,130,45,25,65,55,20,35,20,2,3,0,1,3
13,172,3,air,1,1,1,1,300,420,90,140,40,15,50,55,10,35,25,1,3,0,1,3
13,173,4,rail,1,1,1,1,250,300,70,120,45,35,65,75,20,50,10,1,2,0,1,3
13,174,4,rail,1,1,1,1,390,390,90,140,30,25,50,55,5,50,15,3,1,0,1,3
13,175,4,rail,1,1,1,1,345,345,90,130,40,35,65,35,10,40,20,3,1,0,1,3
