id,obs_id,choice,chosen_alt,av_alt1,av_alt2,av_alt3,tt1,tt2,tt3,tc1,tc2,tc3,age,sex,edu,inchh,urb,sclass
1,1,3,alt3,1,1,1,23,27,35,6,4,3,3,2,6,3,3,2
1,2,2,alt2,1,1,1,27,35,23,5,4,6,3,2,6,3,3,2
1,3,1,alt1,1,1,1,35,23,31,3,5,4,3,2,6,3,3,2
1,4,3,alt3,1,1,1,27,23,35,4,5,3,3,2,6,3,3,2
1,5,1,alt1,1,1,1,35,27,31,3,6,5,3,2,6,3,3,2
1,6,3,alt3,1,1,1,23,27,35,6,5,3,3,2,6,3,3,2
1,7,1,alt1,1,1,1,35,31,23,3,5,6,3,2,6,3,3,2
1,8,3,alt3,1,1,1,27,23,31,5,6,3,3,2,6,3,3,2
1,9,1,alt1,1,1,1,35,31,27,3,4,6,3,2,6,3,3,2
1,10,3,alt3,1,1,1,23,27,31,6,4,3,3,2,6,3,3,2
2,11,1,alt1,1,1,1,23,27,35,6,4,3,3,2,4,2,4,3
2,12,1,alt1,1,1,1,27,35,23,5,4,6,3,2,4,2,4,3
2,13,1,alt1,1,1,1,35,23,31,3,5,4,3,2,4,2,4,3
2,14,3,alt3,1,1,1,27,23,35,4,5,3,3,2,4,2,4,3
2,15,1,alt1,1,1,1,35,27,31,3,6,5,3,2,4,2,4,3
2,16,3,alt3,1,1,1,23,27,35,6,5,3,3,2,4,2,4,3
2,17,1,alt1,1,1,1,35,31,23,3,5,6,3,2,4,2,4,3
2,18,3,alt3,1,1,1,27,23,31,5,6,3,3,2,4,2,4,3
2,19,1,alt1,1,1,1,35,31,27,3,4,6,3,2,4,2,4,3
2,20,3,alt3,1,1,1,23,27,31,6,4,3,3,2,4,2,4,3
3,21,3,alt3,1,1,1,23,27,35,6,4,3,2,2,3,1,3,2
3,22,2,alt2,1,1,1,27,35,23,5,4,6,2,2,3,1,3,2
3,23,1,alt1,1,1,1,35,23,31,3,5,4,2,2,3,1,3,2
3,24,3,alt3,1,1,1,27,23,35,4,5,3,2,2,3,1,3,2
3,25,1,alt1,1,1,1,35,27,31,3,6,5,2,2,3,1,3,2
3,26,3,alt3,1,1,1,23,27,35,6,5,3,2,2,3,1,3,2
3,27,1,alt1,1,1,1,35,31,23,3,5,6,2,2,3,1,3,2
3,28,3,alt3,1,1,1,27,23,31,5,6,3,2,2,3,1,3,2
3,29,1,alt1,1,1,1,35,31,27,3,4,6,2,2,3,1,3,2
3,30,3,alt3,1,1,1,23,27,31,6,4,3,2,2,3,1,3,2
5,31,3,alt3,1,1,1,23,27,35,6,4,3,2,1,5,2,1,3
5,32,2,alt2,1,1,1,27,35,23,5,4,6,2,1,5,2,1,3
5,33,1,alt1,1,1,1,35,23,31,3,5,4,2,1,5,2,1,3
5,34,3,alt3,1,1,1,27,23,35,4,5,3,2,1,5,2,1,3
5,35,1,alt1,1,1,1,35,27,31,3,6,5,2,1,5,2,1,3
5,36,3,alt3,1,1,1,23,27,35,6,5,3,2,1,5,2,1,3
5,37,1,alt1,1,1,1,35,31,23,3,5,6,2,1,5,2,1,3
5,38,3,alt3,1,1,1,27,23,31,5,6,3,2,1,5,2,1,3
5,39,1,alt1,1,1,1,35,31,27,3,4,6,2,1,5,2,1,3
5,40,3,alt3,1,1,1,23,27,31,6,4,3,2,1,5,2,1,3
6,41,2,alt2,1,1,1,23,27,35,6,4,3,3,1,4,3,3,2
6,42,2,alt2,1,1,1,27,35,23,5,4,6,3,1,4,3,3,2
6,43,2,alt2,1,1,1,35,23,31,3,5,4,3,1,4,3,3,2
6,44,2,alt2,1,1,1,27,23,35,4,5,3,3,1,4,3,3,2
6,45,3,alt3,1,1,1,35,27,31,3,6,5,3,1,4,3,3,2
6,46,3,alt3,1,1,1,23,27,35,6,5,3,3,1,4,3,3,2
6,47,2,alt2,1,1,1,35,31,23,3,5,6,3,1,4,3,3,2
6,48,1,alt1,1,1,1,27,23,31,5,6,3,3,1,4,3,3,2
6,49,1,alt1,1,1,1,35,31,27,3,4,6,3,1,4,3,3,2
6,50,2,alt2,1,1,1,23,27,31,6,4,3,3,1,4,3,3,2
9,51,2,alt2,1,1,1,23,27,35,6,4,3,3,2,6,2,4,2
9,52,2,alt2,1,1,1,27,35,23,5,4,6,3,2,6,2,4,2
9,53,2,alt2,1,1,1,35,23,31,3,5,4,3,2,6,2,4,2
9,54,1,alt1,1,1,1,27,23,35,4,5,3,3,2,6,2,4,2
9,55,1,alt1,1,1,1,35,27,31,3,6,5,3,2,6,2,4,2
9,56,1,alt1,1,1,1,23,27,35,6,5,3,3,2,6,2,4,2
9,57,3,alt3,1,1,1,35,31,23,3,5,6,3,2,6,2,4,2
9,58,1,alt1,1,1,1,27,23,31,5,6,3,3,2,6,2,4,2
9,59,2,alt2,1,1,1,35,31,27,3,4,6,3,2,6,2,4,2
9,60,2,alt2,1,1,1,23,27,31,6,4,3,3,2,6,2,4,2
10,61,2,alt2,1,1,1,23,27,35,6,4,3,2,1,6,3,2,1
10,62,1,alt1,1,1,1,27,35,23,5,4,6,2,1,6,3,2,1
10,63,2,alt2,1,1,1,35,23,31,3,5,4,2,1,6,3,2,1
10,64,1,alt1,1,1,1,27,23,35,4,5,3,2,1,6,3,2,1
10,65,3,alt3,1,1,1,35,27,31,3,6,5,2,1,6,3,2,1
10,66,2,alt2,1,1,1,23,27,35,6,5,3,2,1,6,3,2,1
10,67,3,alt3,1,1,1,35,31,23,3,5,6,2,1,6,3,2,1
10,68,1,alt1,1,1,1,27,23,31,5,6,3,2,1,6,3,2,1
10,69,2,alt2,1,1,1,35,31,27,3,4,6,2,1,6,3,2,1
10,70,2,alt2,1,1,1,23,27,31,6,4,3,2,1,6,3,2,1
11,71,1,alt1,1,1,1,23,27,35,6,4,3,2,2,6,2,5,2
11,72,3,alt3,1,1,1,27,35,23,5,4,6,2,2,6,2,5,2
11,73,2,alt2,1,1,1,35,23,31,3,5,4,2,2,6,2,5,2
11,74,2,alt2,1,1,1,27,23,35,4,5,3,2,2,6,2,5,2
11,75,2,alt2,1,1,1,35,27,31,3,6,5,2,2,6,2,5,2
11,76,1,alt1,1,1,1,23,27,35,6,5,3,2,2,6,2,5,2
11,77,3,alt3,1,1,1,35,31,23,3,5,6,2,2,6,2,5,2
11,78,2,alt2,1,1,1,27,23,31,5,6,3,2,2,6,2,5,2
11,79,3,alt3,1,1,1,35,31,27,3,4,6,2,2,6,2,5,2
11,80,1,alt1,1,1,1,23,27,31,6,4,3,2,2,6,2,5,2
12,81,2,alt2,1,1,1,23,27,35,6,4,3,3,2,5,2,5,5
12,82,1,alt1,1,1,1,27,35,23,5,4,6,3,2,5,2,5,5
12,83,3,alt3,1,1,1,35,23,31,3,5,4,3,2,5,2,5,5
12,84,1,alt1,1,1,1,27,23,35,4,5,3,3,2,5,2,5,5
12,85,3,alt3,1,1,1,35,27,31,3,6,5,3,2,5,2,5,5
12,86,2,alt2,1,1,1,23,27,35,6,5,3,3,2,5,2,5,5
12,87,2,alt2,1,1,1,35,31,23,3,5,6,3,2,5,2,5,5
12,88,1,alt1,1,1,1,27,23,31,5,6,3,3,2,5,2,5,5
12,89,2,alt2,1,1,1,35,31,27,3,4,6,3,2,5,2,5,5
12,90,2,alt2,1,1,1,23,27,31,6,4,3,3,2,5,2,5,5
14,91,2,alt2,1,1,1,23,27,35,6,4,3,2,1,6,2,1,1
14,92,3,alt3,1,1,1,27,35,23,5,4,6,2,1,6,2,1,1
14,93,2,alt2,1,1,1,35,23,31,3,5,4,2,1,6,2,1,1
14,94,1,alt1,1,1,1,27,23,35,4,5,3,2,1,6,2,1,1
14,95,2,alt2,1,1,1,35,27,31,3,6,5,2,1,6,2,1,1
14,96,2,alt2,1,1,1,23,27,35,6,5,3,2,1,6,2,1,1
14,97,3,alt3,1,1,1,35,31,23,3,5,6,2,1,6,2,1,1
14,98,1,alt1,1,1,1,27,23,31,5,6,3,2,1,6,2,1,1
14,99,2,alt2,1,1,1,35,31,27,3,4,6,2,1,6,2,1,1
14,100,2,alt2,1,1,1,23,27,31,6,4,3,2,1,6,2,1,1
