id,obs_id,choice,chosen_alt,av_1,av_2,timel,timer,costl,costr,mode,purpose,gender,ageclass,incclass
88,1,1,L,1,1,32,25,23,27,1,1,1,3,4
88,2,2,R,1,1,25,28,33,27,1,1,1,3,4
88,3,1,L,1,1,29,25,14,27,1,1,1,3,4
88,4,1,L,1,1,32,25,27,54,1,1,1,3,4
88,5,2,R,1,1,29,32,46,27,1,1,1,3,4
88,6,2,R,1,1,20,25,32,27,1,1,1,3,4
88,7,1,L,1,1,25,20,23,27,1,1,1,3,4
88,8,2,R,1,1,22,25,27,22,1,1,1,3,4
88,9,2,R,1,1,19,25,43,27,1,1,1,3,4
808,10,1,L,1,1,15,13,18,24,1,1,1,4,3
808,11,2,R,1,1,12,15,24,15,1,1,1,4,3
808,12,2,R,1,1,15,18,24,12,1,1,1,4,3
808,13,1,L,1,1,19,15,24,28,1,1,1,4,3
808,14,2,R,1,1,17,15,24,26,1,1,1,4,3
808,15,2,R,1,1,15,19,24,21,1,1,1,4,3
808,16,2,R,1,1,17,22,48,24,1,1,1,4,3
808,17,1,L,1,1,15,11,24,30,1,1,1,4,3
808,18,2,R,1,1,13,15,39,24,1,1,1,4,3
1517,19,1,L,1,1,13,10,9,13,1,4,2,3,1
1517,20,2,R,1,1,8,10,13,12,1,4,2,3,1
1517,21,2,R,1,1,7,9,13,6,1,4,2,3,1
1517,22,1,L,1,1,7,10,13,10,1,4,2,3,1
1517,23,1,L,1,1,10,8,13,25,1,4,2,3,1
1517,24,2,R,1,1,8,10,17,13,1,4,2,3,1
1517,25,1,L,1,1,12,10,13,14,1,4,2,3,1
1517,26,2,R,1,1,10,11,15,13,1,4,2,3,1
1517,27,2,R,1,1,10,11,13,6,1,4,2,3,1
1635,28,2,R,1,1,23,30,80,74,1,4,2,3,4
1635,29,1,L,1,1,34,30,75,80,1,4,2,3,4
1635,30,2,R,1,1,35,42,86,80,1,4,2,3,4
1635,31,1,L,1,1,30,23,80,82,1,4,2,3,4
1635,32,2,R,1,1,30,39,109,80,1,4,2,3,4
1635,33,2,R,1,1,30,36,124,80,1,4,2,3,4
1635,34,2,R,1,1,27,30,80,76,1,4,2,3,4
1635,35,1,L,1,1,35,30,58,80,1,4,2,3,4
1635,36,1,L,1,1,30,22,80,103,1,4,2,3,4
1944,37,1,L,1,1,12,14,18,17,1,1,1,4,3
1944,38,2,R,1,1,12,14,28,18,1,1,1,4,3
1944,39,2,R,1,1,10,12,18,10,1,1,1,4,3
1944,40,1,L,1,1,13,12,18,28,1,1,1,4,3
1944,41,1,L,1,1,14,16,20,18,1,1,1,4,3
1944,42,2,R,1,1,12,10,18,19,1,1,1,4,3
1944,43,2,R,1,1,12,9,15,18,1,1,1,4,3
1944,44,1,L,1,1,15,12,9,18,1,1,1,4,3
1944,45,1,L,1,1,12,8,18,23,1,1,1,4,3
1972,46,2,R,1,1,35,29,240,248,1,2,1,2,5
1972,47,2,R,1,1,25,20,240,247,1,2,1,2,5
1972,48,1,L,1,1,21,25,240,239,1,2,1,2,5
1972,49,1,L,1,1,32,25,208,240,1,2,1,2,5
1972,50,2,R,1,1,28,25,238,240,1,2,1,2,5
1972,51,1,L,1,1,19,25,240,232,1,2,1,2,5
1972,52,1,L,1,1,32,25,240,261,1,2,1,2,5
1972,53,2,R,1,1,29,25,240,249,1,2,1,2,5
1972,54,2,R,1,1,22,25,253,240,1,2,1,2,5
1974,55,1,L,1,1,14,12,14,23,1,3,1,3,5
1974,56,2,R,1,1,12,14,18,14,1,3,1,3,5
1974,57,1,L,1,1,9,12,14,8,1,3,1,3,5
1974,58,2,R,1,1,13,12,13,14,1,3,1,3,5
1974,59,2,R,1,1,9,12,19,14,1,3,1,3,5
1974,60,2,R,1,1,12,10,13,14,1,3,1,3,5
1974,61,2,R,1,1,14,12,7,14,1,3,1,3,5
1974,62,1,L,1,1,16,14,14,28,1,3,1,3,5
1974,63,1,L,1,1,12,9,14,29,1,3,1,3,5
1989,64,1,L,1,1,60,76,112,110,1,1,1,3,4
1989,65,1,L,1,1,79,69,110,144,1,1,1,3,4
1989,66,2,R,1,1,60,77,110,55,1,1,1,3,4
1989,67,1,L,1,1,60,48,110,127,1,1,1,3,4
1989,68,2,R,1,1,54,60,110,107,1,1,1,3,4
1989,69,1,L,1,1,60,74,124,110,1,1,1,3,4
1989,70,1,L,1,1,70,60,55,110,1,1,1,3,4
1989,71,2,R,1,1,54,60,110,88,1,1,1,3,4
1989,72,2,R,1,1,50,60,154,110,1,1,1,3,4
2174,73,2,R,1,1,10,13,18,16,1,2,2,2,5
2174,74,1,L,1,1,9,7,9,18,1,2,2,2,5
2174,75,1,L,1,1,8,10,20,18,1,2,2,2,5
2174,76,1,L,1,1,10,9,17,18,1,2,2,2,5
2174,77,1,L,1,1,12,10,18,21,1,2,2,2,5
2174,78,2,R,1,1,10,11,22,18,1,2,2,2,5
2174,79,2,R,1,1,7,10,25,18,1,2,2,2,5
2174,80,1,L,1,1,10,8,9,18,1,2,2,2,5
2174,81,2,R,1,1,10,12,18,9,1,2,2,2,5
2297,82,1,L,1,1,15,18,105,93,1,1,1,3,5
2297,83,1,L,1,1,15,18,105,100,1,1,1,3,5
2297,84,2,R,1,1,15,13,101,105,1,1,1,3,5
2297,85,2,R,1,1,15,13,105,106,1,1,1,3,5
2297,86,1,L,1,1,11,15,105,96,1,1,1,3,5
2297,87,2,R,1,1,19,15,105,107,1,1,1,3,5
2297,88,2,R,1,1,18,15,105,125,1,1,1,3,5
2297,89,2,R,1,1,19,17,105,112,1,1,1,3,5
2297,90,2,R,1,1,15,11,105,111,1,1,1,3,5
2607,91,2,R,1,1,19,21,23,19,1,3,2,3,3
2607,92,2,R,1,1,25,30,23,16,1,3,2,3,3
2607,93,2,R,1,1,25,30,26,23,1,3,2,3,3
2607,94,2,R,1,1,18,25,35,23,1,3,2,3,3
2607,95,1,L,1,1,30,25,23,29,1,3,2,3,3
2607,96,1,L,1,1,25,22,23,40,1,3,2,3,3
2607,97,1,L,1,1,25,18,21,23,1,3,2,3,3
2607,98,1,L,1,1,25,20,11,23,1,3,2,3,3
2607,99,1,L,1,1,29,25,14,23,1,3,2,3,3
2886,100,2,R,1,1,60,48,140,144,1,1,2,4,2
2886,101,1,L,1,1,60,74,140,132,1,1,2,4,2
2886,102,1,L,1,1,79,69,140,170,1,1,2,4,2
2886,103,2,R,1,1,60,67,148,140,1,1,2,4,2
2886,104,1,L,1,1,60,50,128,140,1,1,2,4,2
