id,obs_id,choice,chosen_alt,av_1,av_2,av_3,at1,at2,at3,td1,td2,td3,fee1,fee2,fee3,total_access_fsp,total_access_psp,total_access_pup,scenario,incm,gender,resident,oint,dint,odint,age,aveh,income
1,1,1,FSP,1,1,1,10,10,5,10,10,10,0,0.6,0.8,20,20,15,1,900,1,1,0,1,0,2,1,1
1,2,1,FSP,1,1,1,10,10,5,15,15,10,0,0.6,0.8,25,25,15,2,900,1,1,0,1,0,2,1,1
1,3,1,FSP,1,1,1,15,10,5,15,10,10,0,0.8,0.8,30,20,15,3,900,1,1,0,1,0,2,1,1
1,4,1,FSP,1,1,1,15,10,5,10,15,10,0,0.8,0.8,25,25,15,4,900,1,1,0,1,0,2,1,1
1,5,1,FSP,1,1,1,15,10,5,15,10,10,0,0.6,1.5,30,20,15,5,900,1,1,0,1,0,2,1,1
1,6,1,FSP,1,1,1,15,10,5,10,15,10,0,0.6,1.5,25,25,15,6,900,1,1,0,1,0,2,1,1
1,7,1,FSP,1,1,1,10,10,5,10,10,10,0,0.8,1.5,20,20,15,7,900,1,1,0,1,0,2,1,1
1,8,1,FSP,1,1,1,10,10,5,15,15,10,0,0.8,1.5,25,25,15,8,900,1,1,0,1,0,2,1,1
3,9,3,PUP,1,1,1,10,10,5,10,10,10,0,0.6,0.8,20,20,15,1,900,0,1,1,1,1,4,1,1
3,10,3,PUP,1,1,1,10,10,5,15,15,10,0,0.6,0.8,25,25,15,2,900,0,1,1,1,1,4,1,1
3,11,3,PUP,1,1,1,15,10,5,15,10,10,0,0.8,0.8,30,20,15,3,900,0,1,1,1,1,4,1,1
3,12,3,PUP,1,1,1,15,10,5,10,15,10,0,0.8,0.8,25,25,15,4,900,0,1,1,1,1,4,1,1
3,13,2,PSP,1,1,1,15,10,5,15,10,10,0,0.6,1.5,30,20,15,5,900,0,1,1,1,1,4,1,1
3,14,2,PSP,1,1,1,15,10,5,10,15,10,0,0.6,1.5,25,25,15,6,900,0,1,1,1,1,4,1,1
3,15,1,FSP,1,1,1,10,10,5,10,10,10,0,0.8,1.5,20,20,15,7,900,0,1,1,1,1,4,1,1
3,16,1,FSP,1,1,1,10,10,5,15,15,10,0,0.8,1.5,25,25,15,8,900,0,1,1,1,1,4,1,1
4,17,3,PUP,1,1,1,10,10,5,10,10,10,0,0.6,0.8,20,20,15,1,900,0,1,1,1,1,3,1,1
4,18,3,PUP,1,1,1,10,10,5,15,15,10,0,0.6,0.8,25,25,15,2,900,0,1,1,1,1,3,1,1
4,19,3,PUP,1,1,1,15,10,5,15,10,10,0,0.8,0.8,30,20,15,3,900,0,1,1,1,1,3,1,1
4,20,3,PUP,1,1,1,15,10,5,10,15,10,0,0.8,0.8,25,25,15,4,900,0,1,1,1,1,3,1,1
4,21,2,PSP,1,1,1,15,10,5,15,10,10,0,0.6,1.5,30,20,15,5,900,0,1,1,1,1,3,1,1
4,22,2,PSP,1,1,1,15,10,5,10,15,10,0,0.6,1.5,25,25,15,6,900,0,1,1,1,1,3,1,1
4,23,1,FSP,1,1,1,10,10,5,10,10,10,0,0.8,1.5,20,20,15,7,900,0,1,1,1,1,3,1,1
4,24,1,FSP,1,1,1,10,10,5,15,15,10,0,0.8,1.5,25,25,15,8,900,0,1,1,1,1,3,1,1
5,25,1,FSP,1,1,1,10,10,5,10,10,10,0,0.6,0.8,20,20,15,1,900,0,0,0,1,0,4,1,1
5,26,1,FSP,1,1,1,10,10,5,15,15,10,0,0.6,0.8,25,25,15,2,900,0,0,0,1,0,4,1,1
5,27,1,FSP,1,1,1,15,10,5,15,10,10,0,0.8,0.8,30,20,15,3,900,0,0,0,1,0,4,1,1
5,28,1,FSP,1,1,1,15,10,5,10,15,10,0,0.8,0.8,25,25,15,4,900,0,0,0,1,0,4,1,1
5,29,1,FSP,1,1,1,15,10,5,15,10,10,0,0.6,1.5,30,20,15,5,900,0,0,0,1,0,4,1,1
5,30,1,FSP,1,1,1,15,10,5,10,15,10,0,0.6,1.5,25,25,15,6,900,0,0,0,1,0,4,1,1
5,31,1,FSP,1,1,1,10,10,5,10,10,10,0,0.8,1.5,20,20,15,7,900,0,0,0,1,0,4,1,1
5,32,1,FSP,1,1,1,10,10,5,15,15,10,0,0.8,1.5,25,25,15,8,900,0,0,0,1,0,4,1,1
6,33,1,FSP,1,1,1,10,10,5,10,10,10,0,0.6,0.8,20,20,15,1,300,1,1,0,1,0,1,1,1
6,34,1,FSP,1,1,1,10,10,5,15,15,10,0,0.6,0.8,25,25,15,2,300,1,1,0,1,0,1,1,1
6,35,1,FSP,1,1,1,15,10,5,15,10,10,0,0.8,0.8,30,20,15,3,300,1,1,0,1,0,1,1,1
6,36,1,FSP,1,1,1,15,10,5,10,15,10,0,0.8,0.8,25,25,15,4,300,1,1,0,1,0,1,1,1
6,37,1,FSP,1,1,1,15,10,5,15,10,10,0,0.6,1.5,30,20,15,5,300,1,1,0,1,0,1,1,1
6,38,1,FSP,1,1,1,15,10,5,10,15,10,0,0.6,1.5,25,25,15,6,300,1,1,0,1,0,1,1,1
6,39,1,FSP,1,1,1,10,10,5,10,10,10,0,0.8,1.5,20,20,15,7,300,1,1,0,1,0,1,1,1
6,40,1,FSP,1,1,1,10,10,5,15,15,10,0,0.8,1.5,25,25,15,8,300,1,1,0,1,0,1,1,1
7,41,3,PUP,1,1,1,10,10,5,10,10,10,0,0.6,0.8,20,20,15,1,1800,0,1,1,1,1,2,1,2
7,42,3,PUP,1,1,1,10,10,5,15,15,10,0,0.6,0.8,25,25,15,2,1800,0,1,1,1,1,2,1,2
7,43,3,PUP,1,1,1,15,10,5,15,10,10,0,0.8,0.8,30,20,15,3,1800,0,1,1,1,1,2,1,2
7,44,3,PUP,1,1,1,15,10,5,10,15,10,0,0.8,0.8,25,25,15,4,1800,0,1,1,1,1,2,1,2
7,45,3,PUP,1,1,1,15,10,5,15,10,10,0,0.6,1.5,30,20,15,5,1800,0,1,1,1,1,2,1,2
7,46,3,PUP,1,1,1,15,10,5,10,15,10,0,0.6,1.5,25,25,15,6,1800,0,1,1,1,1,2,1,2
7,47,1,FSP,1,1,1,10,10,5,10,10,10,0,0.8,1.5,20,20,15,7,1800,0,1,1,1,1,2,1,2
7,48,3,PUP,1,1,1,10,10,5,15,15,10,0,0.8,1.5,25,25,15,8,1800,0,1,1,1,1,2,1,2
8,49,3,PUP,1,1,1,10,10,5,10,10,10,0,0.6,0.8,20,20,15,1,900,0,0,0,1,0,3,2,1
8,50,3,PUP,1,1,1,10,10,5,15,15,10,0,0.6,0.8,25,25,15,2,900,0,0,0,1,0,3,2,1
8,51,3,PUP,1,1,1,15,10,5,15,10,10,0,0.8,0.8,30,20,15,3,900,0,0,0,1,0,3,2,1
8,52,3,PUP,1,1,1,15,10,5,10,15,10,0,0.8,0.8,25,25,15,4,900,0,0,0,1,0,3,2,1
8,53,2,PSP,1,1,1,15,10,5,15,10,10,0,0.6,1.5,30,20,15,5,900,0,0,0,1,0,3,2,1
