task_id,task_name,specification_key,episode_length,search_strategy,attempt_found,estimated,reward,n_terms,action_indices,specification,numParams,numResids,maximum,vcHessianConditionNumber,successfulEstimation,LL0,LLC,LLout,rho2_0,adjRho2_0,rho2_C,adjRho2_C,AIC,BIC,eigValue,timeTaken,nFreeParams,skipped
4,Swissmetro,1110_2210_3210_4120_5000_6220_7000,10,topk,0,True,0.06285362235849418,5,"[25, 121, 225, 81, 33, 105, 113, 25, 65, 73]",1110_2210_3210_4120_5000_6220_7000,7,6768,-5207.857777226058,0.0075817325985302764,True,-6964.66297919223,-5864.998339900737,-5207.857777226066,0.25224554400045474,0.25124047024155016,0.11204445842789468,0.11119194326757753,10429.715554452116,10477.455280761118,-8.756216,0.42272305488586426,7,0
4,Swissmetro,1110_2220_3120_4210_5000_6110_7000,10,topk,1,True,0.1028302654398787,5,"[17, 81, 25, 73, 33, 81, 113, 73, 65, 121]",1110_2220_3120_4210_5000_6110_7000,10,6768,-4990.099883041927,0.005939014028005179,True,-6964.66297919223,-5864.998339900737,-4990.099883041952,0.28351165046313775,0.2820758308075598,0.14917283964203432,0.14780881538552704,10000.199766083853,10068.399375096715,-12.148235,0.4784829616546631,10,0
4,Swissmetro,1110_2220_3120_4210_5000_6220_7000,10,topk,2,True,0.10283026543987887,5,"[73, 25, 81, 33, 225, 25, 113, 33, 65, 121]",1110_2220_3120_4210_5000_6220_7000,10,6768,-4990.099883041928,0.006021697474485436,True,-6964.66297919223,-5864.998339900737,-4990.099883041951,0.28351165046313764,0.2820758308075597,0.1491728396420342,0.14780881538552681,10000.199766083855,10068.399375096717,-12.148178,0.47442197799682617,10,0
4,Swissmetro,1110_2220_3210_4210_5000_6220_7000,10,topk,3,True,0.0693122456946895,5,"[17, 33, 25, 225, 17, 121, 25, 81, 33, 73]",1110_2220_3210_4210_5000_6220_7000,8,6768,-5172.7697316017875,0.006147481457456519,True,-6964.66297919223,-5864.998339900737,-5172.769731601806,0.25728355455876895,0.2561348988343066,0.1180270765960123,0.11700405840363182,10361.539463203575,10416.099150413864,-13.153366,0.34979915618896484,8,0
4,Swissmetro,1110_2220_3120_4110_5000_6110_7000,10,topk,5,True,0.10278628934422737,5,"[17, 25, 225, 121, 33, 201, 81, 105, 73, 65]",1110_2220_3120_4110_5000_6110_7000,10,6768,-4990.340290742638,0.007025522579528587,True,-6964.66297919223,-5864.998339900737,-4990.340290742636,0.28347713225293436,0.28204131259735643,0.1491318494001317,0.1477678251436243,10000.680581485276,10068.880190498137,-12.369941,0.40634989738464355,10,0
4,Swissmetro,1110_2220_3210_4110_5000_6110_7000,10,topk,6,True,0.06924426775178198,5,"[73, 121, 25, 17, 33, 225, 25, 105, 201, 33]",1110_2220_3210_4110_5000_6110_7000,8,6768,-5173.139197538346,0.033885807749671336,True,-6964.66297919223,-5864.998339900737,-5173.1391975383485,0.25723050591339125,0.25608185018892893,0.11796408153358495,0.11694106334120447,10362.278395076692,10416.83808228698,-13.382018,0.4029819965362549,8,0
4,Swissmetro,1110_2120_3210_4110_5000_6220_7000,10,topk,7,True,0.05618606913649791,5,"[25, 121, 33, 81, 105, 65, 225, 25, 17, 73]",1110_2120_3210_4110_5000_6220_7000,8,6768,-5244.0509268830765,0.01854472487337218,True,-6964.66297919223,-5864.998339900737,-5244.050926883076,0.2470488604329727,0.24590020470851037,0.10587341667144778,0.1048503984790673,10504.101853766153,10558.661540976442,-36.89858,0.3291308879852295,8,0
4,Swissmetro,1110_2210_3120_4110_5000_6110_7000,10,topk,8,True,0.1020183293283283,5,"[25, 73, 17, 65, 81, 225, 33, 201, 65, 25]",1110_2210_3120_4110_5000_6110_7000,8,6768,-4994.538207011629,0.012304927575750767,True,-6964.66297919223,-5864.998339900737,-4994.538207011627,0.28287438718378555,0.2817257314593232,0.14841609194792027,0.14739307375553978,10005.076414023259,10059.636101233547,-36.876817,0.5498759746551514,8,0
4,Swissmetro,1110_2220_3220_4120_5000_6220_7000,10,topk,12,True,0.11847449107617947,5,"[25, 33, 121, 81, 17, 105, 25, 33, 113, 225]",1110_2220_3220_4120_5000_6220_7000,11,6768,-4904.429488722514,0.004985818538143798,True,-6964.66297919223,-5864.998339900737,-4904.429488722519,0.29581237406963,0.29423297244849433,0.16377990163156297,0.16224537434299213,9830.858977445028,9905.878547359174,-8.851345,0.5283958911895752,11,0
4,Swissmetro,1110_2120_3220_4110_5000_6110_7000,10,topk,14,True,0.10533156890961082,5,"[25, 121, 17, 225, 81, 73, 105, 65, 81, 201]",1110_2120_3220_4110_5000_6110_7000,10,6768,-4976.422156544484,0.006238103925828579,True,-6964.66297919223,-5864.998339900737,-4976.422156544477,0.28547552531800247,0.28403970566242454,0.15150493348158245,0.15014090922507517,9972.844313088968,10041.04392210183,-16.333378,0.5617578029632568,10,0
